union,company,address,election_date,outcome,elig_voter,fst_votes,votes_no,challenged,latitude,longitude
ACTWU,"ATHEARN, INC.","19010 S LAUREL PARK RD, COMPTON, CA 902206091",2/4/86,Won,104,71,17,5,33.8579232,-118.2188538
LOCAL,COLLEGE OF ENGLISH LANGUAGE,"2500 WILSHIRE BLVD, LOS ANGELES, CA 900574303",2/5/86,Lost,6,0,3,0,34.05997,-118.2812
SEIU,ADVANCED BUILDING MAINTENANCE CO.,"3000 OCEAN PARK BLVD, SANTA MONICA, CA 904053020",2/7/86,Won,34,18,12,4,34.0190007,-118.4536384
UFCW,"NADER BROTHERS, INC.","3770 JEWEL AVE, LOS ANGELES, CA 900581721",2/13/86,Lost,16,6,10,0,34.0082898,-118.2224475
HERE,"HOF'S HUT RESTAURANT, INC.","4241 LONG BEACH BLVD, LONG BEACH, CA 908072003",2/13/86,Lost,357,28,199,0,33.835346,-118.1900199
UFCW,"KRUSE & SON, INC.","235 KRUSE AVE, MONROVIA, CA 910164899",2/13/86,Lost,28,7,17,1,34.1282421,-118.0000247
IATSE,SEINIGER/BLOOM PRODUCTIONS,"8201 W 3RD ST, LOS ANGELES, CA 900484302",2/26/86,Lost,17,5,8,2,34.0726448,-118.3681285
IATSE,LAIRD INTERNATIONAL STUDIOS,"9336 WASHINGTON BLVD, CULVER CITY, CA 902322628",2/26/86,Lost,35,12,18,5,34.0227604,-118.3908485
OCAW,"RAM CHEMICAL, WHIT","210 E ALONDRA BLVD, GARDENA, CA 902482808",2/28/86,Won,23,14,9,0,33.8856245,-118.2729984
SEIU,VIEW HEIGHTS CONVALESCENT HOSPITAL,"12619 AVALON BLVD, LOS ANGELES, CA 900612792",3/5/86,Lost,120,16,67,0,33.9182294,-118.2657727
LDC,SERVISCO,"702 W ANAHEIM ST, LONG BEACH, CA 908132820",3/14/86,Lost,21,4,15,0,33.7823448,-118.2005844
HERE,PACIFICA HOTEL,"6161 W CENTINELA AVE, CULVER CITY, CA 902306306",3/21/86,Lost,146,42,72,1,33.9826814,-118.3964934
USW,WESTERN INTERMODAL SERVICES  LTD.,"6262 CHALET DR, LOS ANGELES, CA 900403704",3/24/86,Won,5,3,2,0,33.9755865,-118.1342577
IBT,INTERCOMMUNITY SANITARIUM,"2626 GRAND AVE, LONG BEACH, CA 908151798",3/25/86,Won,93,51,35,1,33.8049467,-118.1456083
IBT,PERSONAL DELIVERY SERVICES,"6446 TELEGRAPH RD, LOS ANGELES, CA 900402516",3/27/86,Won,17,15,1,1,33.9919748,-118.141069
IBT,"ATA STORES, INC","7910 S SEPULVEDA BLVD, LOS ANGELES, CA 900452969",3/27/86,Won,4,3,0,0,33.9668614,-118.3957165
GCIU,SUN LITHO NATIONAL INC.,"7950 HASKELL AVE, VAN NUYS, CA 914061998",3/27/86,Lost,196,78,109,0,34.2151338,-118.4742611
IBT,"HALLMARK CARPET MILLS, INC.","15905 COMMERCE WAY, CERRITOS, CA 907032318",4/4/86,Lost,44,17,26,0,33.8867278,-118.0440407
PGW,HUGHES AIRCRAFT CO.,"2060 E IMPERIAL HWY, EL SEGUNDO, CA 902453500",4/10/86,Lost,183,28,148,0,33.9297363,-118.3895526
GCIU,"SINCLAIR & VALENTINE CO., INC.","14930 MARQUARDT AVE, SANTA FE SPRINGS, CA 906705129",4/10/86,Lost,13,2,11,0,33.8955648,-118.0371799
SMW,R.D. WERNER CO.,"5400 LINDBERGH LN, BELL, CA 902016467",4/11/86,Won,5,3,2,0,33.995215,-118.172699
AFSCME,WAYBACK INN,"12917 CERISE AVE, HAWTHORNE, CA 902505520",4/16/86,Won,16,13,3,0,33.91478,-118.332771
HERE,ROSSMORE HOUSE,"445 N ROSSMORE AVE, LOS ANGELES, CA 900042463",4/17/86,Lost,44,19,20,1,34.0784272,-118.3276317
HERE,RAMADA INN,"1150 N BEVERLY DR, BEVERLY HILLS, CA 902102339",4/17/86,Lost,99,17,58,12,34.0917401,-118.4120189
LOCAL,LIFE PAINT,"12911 SUNSHINE AVE, SANTA FE SPRINGS, CA 906704732",4/17/86,Lost,17,2,15,0,33.9211196,-118.0570754
IBT,"CONSIDATED SURE SERVICES, INC","5801 SHEILA ST, LOS ANGELES, CA 900402321",4/18/86,Lost,38,14,21,1,33.9975589,-118.1535156
LOCAL,DOUGLAS AIRCRAFT CO.,"3855 N LAKEWOOD BLVD, LONG BEACH, CA 908460003",4/23/86,Lost,54,8,46,0,33.82705,-118.14446
AIW,WESTERN BRASS WORKS,"1440 N SPRING ST, LOS ANGELES, CA 900121984",4/25/86,Lost,225,79,130,4,34.0672991,-118.2311901
IBB,"CAPITAL WESTWARD, INC.","7747 ROSECRANS AVE, PARAMOUNT, CA 907232509",4/25/86,Lost,17,5,11,0,33.9044753,-118.1641064
IBT,SYSTEM TRANSPORT,"5367 AYON AVE, BALDWIN PARK, CA 917062019",4/25/86,Lost,13,5,7,1,34.1092853,-117.9290193
ILWU,PROTOTYPE PLASTICS-FIBERGLASS TRENDS,"3020 E LAS HERMANAS ST, COMPTON, CA 902215511",4/28/86,Lost,31,5,21,5,33.8687742,-118.2090755
IBT,"DIESEL RECON CO., CUMMINS ENGINEERING","14044 FREEWAY DR, SANTA FE SPRINGS, CA 906705812",5/1/86,Won,22,15,1,0,33.8872336,-118.0316618
UFCW,"SAV-ON STORES, INC. #3395","220 E COMPTON BLVD, COMPTON, CA 902202413",5/2/86,Won,28,24,4,0,33.8946747,-118.2217077
IBT,"INTEGRATED CEILINGS, INC.","11500 TENNESSEE AVE, LOS ANGELES, CA 900641513",5/15/86,Won,42,24,16,0,34.0343368,-118.4427329
UBC,FLEMING LUMBER CO.,"3250 N SAN FERNANDO RD, LOS ANGELES, CA 900651415",5/22/86,Lost,15,7,8,0,34.1171497,-118.2488667
GCIU,LOS ANGELES SENTINEL,"1112 E 43RD ST, LOS ANGELES, CA 900113226",5/23/86,Lost,63,26,28,0,34.005609,-118.2561736
IBEW,SIGMA ELECTRONICS,"5220 VALLEY BLVD, LOS ANGELES, CA 900323929",5/23/86,Won,27,13,10,1,34.0731464,-118.1704259
ILA,PICK YOUR PART AUTO WRECKING,"11201 PENDLETON ST, SUN VALLEY, CA 913521528",5/29/86,Lost,71,5,58,0,34.2372075,-118.3753903
LDC,MANDARIN DYE HOUSE,"768 CERES AVE, LOS ANGELES, CA 900211516",6/2/86,Lost,11,0,10,0,34.0361898,-118.2443935
USW,"BARON BLAKESLEE, INC.","680 S SEPULVEDA BLVD, EL SEGUNDO, CA 902454716",6/6/86,Lost,9,1,6,0,33.9314101,-118.396254
IBT,WEBSTERS REFUSE DISPOSAL,"3940 LIVE OAK AVE, BALDWIN PARK, CA 91706",6/6/86,Lost,151,48,81,15,34.1109015,-118.0060438
LOCAL,SMILAND PAINT CO.,"620 LAMAR ST, LOS ANGELES, CA 900312500",6/10/86,Lost,30,0,29,0,34.0662646,-118.2220065
IBT,COMMUNITY FOOD RESOURCES,"1900 E 25TH ST, LOS ANGELES, CA 900581130",6/13/86,Won,11,9,2,0,34.0142789,-118.2370381
LOCAL,"FRENCH RAGS, INC.","3860 S CENTINELA AVE, LOS ANGELES, CA 900664417",6/18/86,Lost,207,79,97,11,34.0025674,-118.4315638
UBC,"ALEXANDER CABINET CO., INC.","17205 S FIGUEROA ST, GARDENA, CA 902483022",6/20/86,Lost,77,0,45,0,33.8744817,-118.2829016
IBT,"CORRUGATED PARTITIONS, INC.","15600 RESIN PL, SANTA FE SPRINGS, CA 906705627",6/26/86,Won,36,31,3,0,33.8887592,-118.0448543
LOCAL,"TEMPO INDUSTRIES, INC.","317 N AVENUE 19, LOS ANGELES, CA 900311706",6/27/86,Lost,38,0,35,1,34.0764135,-118.2244052
GCIU,"GUILD PRINTING CO., INC.","3801 S GRAND AVE, LOS ANGELES, CA 900371391",6/30/86,Lost,23,2,15,0,34.0151066,-118.2798308
SEIU,"COMMUNITY SERVICE ORGANIZATION, INC.","2130 E 1ST ST, LOS ANGELES, CA 900333993",7/1/86,Won,44,26,5,2,34.0443143,-118.2128782
IBT,HIGRADE READY MIX CONCRETE INC.,"6500 E AVENUE T, LITTLEROCK, CA 93543",7/3/86,Lost,12,4,8,0,34.5397371,-118.0148353
BSOIW,MARSA INDUSTRIES,"8903 MINER ST, LOS ANGELES, CA 900021837",7/11/86,Lost,10,3,6,0,33.9556893,-118.2351073
LOCAL,"ARMORED TRANSPORT, INC.","1612 W PICO BLVD, LOS ANGELES, CA 900152472",7/16/86,Won,19,10,5,0,34.0445202,-118.2776032
IBT,M. G. INDUSTRIES,"11711 S ALAMEDA ST, LOS ANGELES, CA 900592130",7/17/86,Won,10,5,4,0,33.9276036,-118.2252939
LOCAL,GROUP CABLE,"641 W DUARTE RD, ARCADIA, CA 910077332",7/24/86,Lost,8,0,7,0,34.1272692,-118.0531426
IBT,GROUP W CABLE,"641 W DUARTE RD, ARCADIA, CA 910077332",7/24/86,Lost,10,2,8,0,34.1272692,-118.0531426
IBT,"NISSEI INDUSTRIES CO., LTD.","969 SANDHILL AVE, CARSON, CA 907461211",8/4/86,Lost,13,4,9,0,33.879198,-118.257744
UAW,VIKING CONNECTORS CO.,"21001 NORDHOFF ST, CHATSWORTH, CA 913115911",8/7/86,Won,175,99,68,1,34.2358021,-118.5912601
IBT,MISSION FOODS CORP.,"7920 DEERING AVE, CANOGA PARK, CA 913045007",8/12/86,Lost,15,3,9,0,34.2143494,-118.5942406
IBT,HERTZ CORP.,"4100 E DONALD DOUGLAS DR, LONG BEACH, CA 908081725",8/13/86,Won,9,5,2,1,33.8182584,-118.1440174
SMW,AVALON DONUT EQUIPMENT,"2021 1ST ST, SAN FERNANDO, CA 913402611",8/15/86,Lost,13,1,12,0,34.2913797,-118.447088
IUOE,AZUSA ROCK,"36 W WOODBURY RD, ALTADENA, CA 91001",8/19/86,Won,5,5,0,0,34.1825817,-118.1517651
IBT,ROZAY'S TRANSFER,"2315 NADEAU ST, HUNTINGTON PARK, CA 902555603",9/11/86,Lost,6,1,5,0,33.967938,-118.2312358
IATSE,H F E KEYSTONE,"6060 W SUNSET BLVD, LOS ANGELES, CA 900286433",9/18/86,Won,13,10,1,1,34.0974765,-118.3216749
IBT,JEWISH HOME FOR THE AGING,"18855 VICTORY BLVD, RESEDA, CA 913356499",9/19/86,Lost,356,140,154,3,34.1868199,-118.5444655
IBT,"SIMMONS MATTRESS CO., & ROBWAY, INC.","11030 ARTESIA BLVD, CERRITOS, CA 907032500",9/25/86,Lost,44,7,33,2,33.872505,-118.098366
UAW,LEGAL SERVICE PROGRAM,"600 S LAKE AVE STE 405, PASADENA, CA 911063955",9/25/86,Won,21,16,5,0,34.1356756,-118.1317866
SEIU,"LE ROY'S JEWELER, INC.","701 S BROADWAY, LOS ANGELES, CA 900142801",9/26/86,Lost,44,10,33,0,34.0451866,-118.2536539
IBT,MIDWEST LIGHTING CORP.,"5250 HOLLYWOOD BLVD, LOS ANGELES, CA 900274972",9/26/86,Lost,15,6,8,1,34.1014406,-118.3048676
IBT,STATIONERS DISTRIBUTING CO.,"4000 UNION PACIFIC AVE, LOS ANGELES, CA 900233202",9/29/86,Won,100,48,45,0,34.01627,-118.18924
HERE,EL PASEO INN,"11 OLVERA ST, LOS ANGELES, CA 900122920",10/10/86,Lost,40,15,21,2,34.0575265,-118.2376643
LOCAL,UNITED TEACHERS ASSOC.,"2511 W 3RD ST, LOS ANGELES, CA 900571971",10/10/86,Won,9,5,0,0,34.0653539,-118.277071
SEIU,CUSTOM DECORATING,"7900 SAN FERNANDO RD, SUN VALLEY, CA 913524695",10/10/86,Won,35,28,2,2,34.215397,-118.3622602
SEIU,SAN PEDRO PENINSULA HOSPITAL PAVILION,"322 W 6TH ST, SAN PEDRO, CA 907313318",10/23/86,Lost,90,29,45,0,33.7387526,-118.2839714
IBT,DAVID COOPER DRUM CO.,"6920 STANFORD AVE, LOS ANGELES, CA 900011544",10/27/86,Won,52,25,2,18,33.9765539,-118.2624381
LIUNA,GUARDIAN FENCE CO.,"1050 E SPRING ST, LONG BEACH, CA 908061823",10/29/86,Lost,10,3,6,0,33.8116524,-118.1783148
LOCAL,DOUGLAS AIRCRAFT,"3588 N LAKEWOOD BLVD, LONG BEACH, CA 90808",10/30/86,Lost,50,16,33,0,33.8226111,-118.141396
LOCAL,"TRICO INDUSTRIES, INC.","19706 NORMANDIE AVE, TORRANCE, CA 905021111",10/31/86,Lost,13,0,12,0,33.8524981,-118.2981848
IUOE,AZUSA LAND RECLAMATION CO.,"3055 WILSHIRE BLVD, LOS ANGELES, CA 900101108",11/6/86,Lost,12,0,6,6,34.0620291,-118.2880824
SEIU,WHITTIER CARE CENTER,"10426 BOGARDUS AVE, WHITTIER, CA 906032642",11/6/86,Won,100,69,22,4,33.941734,-117.982879
IBT,KCL CORP.,"14950 CALVERT ST, VAN NUYS, CA 914112603",11/7/86,Lost,17,6,11,0,34.1809332,-118.459356
LOCAL,MILLER BREWING CO.,"15801 E FIREST ST, IRWINDALE, CA 91706",11/7/86,Won,95,33,0,29,34.1235217,-117.9412043
ILWU,MAERSK LINE,"1188 PIER G AVE, LONG BEACH, CA 908026243",11/12/86,Won,8,8,0,0,33.7421068,-118.1884309
UFCW,"SPATZ LABORATORIES, INC.","4131 GLENCOE AVE, MARINA DEL REY, CA 902925609",11/14/86,Lost,27,11,14,0,33.9889999,-118.4425047
SMW,TORIN CORP.,"8966 MASON AVE, CHATSWORTH, CA 913116107",11/14/86,Lost,10,3,7,0,34.2342454,-118.5791598
USW,CRAFTSMAN OFFICE FURNITURE CORP.,"14113 MCKINLEY AVE, LOS ANGELES, CA 900593592",11/19/86,Lost,98,31,58,5,33.9033489,-118.261415
IBT,PETROLANE TRANSPORT,"2675 TEMPLE AVE, SIGNAL HILL, CA 908062208",11/20/86,Lost,6,3,3,0,33.805917,-118.159685
SEIU,MOTION PICTURE & TELEVISION HOSPITAL,"23388 MULHOLLAND DR, WOODLAND HILLS, CA 913642792",12/5/86,Won,407,183,147,15,34.1558811,-118.6350256
SEIU,MOTION PICTURE & TELEVISION HOSPITAL,"23388 MULHOLLAND DR, WOODLAND HILLS, CA 913642792",12/5/86,Lost,60,11,31,1,34.1558811,-118.6350256
IBT,SUNRISE HOTEL,"525 S HARBOR BLVD, SAN PEDRO, CA 907313393",12/8/86,Won,36,18,9,8,33.7397358,-118.2801298
IBT,"INDUSTRIAL PARTS DEPOT, INC.","23231 NORMANDIE AVE, TORRANCE, CA 905015096",12/11/86,Lost,109,30,68,6,33.8144131,-118.2986488
USW,PACKAGING CORP.,"4633 S DOWNEY RD, LOS ANGELES, CA 900582590",12/18/86,Lost,389,123,250,2,34.0016523,-118.205694
PGOC,HUGHES AIRCRAFT CO.,"2000 E EL SEGUNDO BLVD, EL SEGUNDO, CA 902454599",12/19/86,Lost,94,31,53,4,33.914053,-118.387937
ACTWU,BRIAR INC.,"2828 S GRAND AVE, LOS ANGELES, CA 900073303",1/7/87,Lost,90,23,62,0,34.0238573,-118.2736294
ACTWU,PELLON-KLUGER CONTRACT FUSING,"1122 MAPLE AVE, LOS ANGELES, CA 900152361",1/8/87,Lost,97,21,64,10,34.0365257,-118.2554907
IBT,BALOWEN CONVALESCENT HOSPITAL,"16955 VANOWEN ST, VAN NUYS, CA 914064542",1/9/87,Lost,38,8,21,5,34.1942129,-118.5032154
IBT,TRIANGLE DISTRIBUTORS,"12065 PIKE ST, SANTA FE SPRINGS, CA 906706102",1/16/87,Lost,74,10,54,2,33.9526057,-118.06741
UFCW,RALPHS GROCERY CO.,"PO BOX 54143, LOS ANGELES, CA 900540143",1/26/87,Won,14,7,0,0,34.0522342,-118.2436849
UFCW,SEARS ROEBUCK & CO.,"3801 E FOOTHILL BLVD, PASADENA, CA 911072228",1/30/87,Lost,277,52,185,5,34.151156,-118.0705641
USW,PRECISION HEAT TREATING,"1532 S GREENWOOD AVE, MONTEBELLO, CA 906406536",2/6/87,Lost,14,1,13,0,33.9828861,-118.1253432
HERE,SHAKER MOUNTAIN INN,"900 N CENTRAL AVE, GLENDALE, CA 912031206",2/6/87,Lost,75,25,35,9,34.1587154,-118.2576872
SEIU,VAN NUYS HOSPITAL,"15220 VANOWEN ST, VAN NUYS, CA 914053607",2/6/87,Won,81,38,37,0,34.1934565,-118.4644745
IAM,MCDONNELL DOUGLAS ASTRONAUTICS CO.,"700 ROYAL OAKS DR, MONROVIA, CA 910163629",2/18/87,Won,391,241,60,0,34.1432115,-117.9907566
IBEW,CBS INC.,"6121 W SUNSET BLVD, LOS ANGELES, CA 900286423",2/20/87,Won,30,24,5,0,34.0984715,-118.3233011
PGOC,GENERAL MOTORS CORP.,"8000 VAN NUYS BLVD, PANORAMA CITY, CA 914026083",2/27/87,Won,20,12,8,0,34.216313,-118.4483919
HERE,CANOGA PARK BOWL,"20122 VANOWEN ST, WINNETKA, CA 913064308",3/2/87,Lost,7,1,6,0,34.1928718,-118.5718793
IBT,"CERTIFIED GROCERS, LTD.","2601 S EASTERN AVE, LOS ANGELES, CA 900401401",3/5/87,Won,49,27,0,3,33.9993856,-118.1599017
IUOE,PEPSI COLA BOTTLING CO.,"19700 FIGUEROA ST, CARSON, CA 907451003",3/6/87,Lost,9,0,9,0,33.8517408,-118.2824448
SEIU,GROUP DENTAL SERVICE,"7335 VAN NUYS BLVD, VAN NUYS, CA 914051951",3/10/87,Lost,15,1,11,3,34.2038795,-118.4494133
HERE,GAGE BOWL,"3477 E GAGE AVE, HUNTINGTON PARK, CA 902555510",3/12/87,Lost,6,2,3,0,33.9799565,-118.2030437
UFCW,UNIBRIGHT,"4350 ALCOA AVE, LOS ANGELES, CA 900582410",3/13/87,Won,82,54,15,2,34.0044668,-118.20839
IBT,CREST STEEL CORP.,"24724 WILMINGTON AVE, CARSON, CA 907456127",3/13/87,Lost,65,14,33,5,33.8019514,-118.2558601
ILWU,YOPLAIT U.S.A.,"1055 SANDHILL AVE, CARSON, CA 907461312",3/26/87,Lost,87,36,44,3,33.8794112,-118.2550378
AWOC,GENERAL AMERICAN TRANSPORTATION CORP.,"2000 E SEPULVEDA BLVD, LONG BEACH, CA 908101937",4/3/87,Won,21,15,6,0,33.8068138,-118.2322409
IBT,AMERICAN RED CROSS,"1130 S VERMONT AVE, LOS ANGELES, CA 900062763",4/8/87,Won,100,50,33,3,34.0502698,-118.291157
IBT,AAA GLASS CO.,"2800 E 12TH ST, LOS ANGELES, CA 900233689",4/10/87,Won,80,45,26,8,34.0213589,-118.2189183
IBT,"SOTO PROVISION, INC.","649 GLADYS AVE, LOS ANGELES, CA 900211003",4/15/87,Won,12,5,4,0,34.0392425,-118.2433885
SEIU,"HACIENDA CARE CENTER, INC.","1899 N RAYMOND AVE, PASADENA, CA 911031733",4/15/87,Lost,180,33,113,0,34.1782888,-118.1498455
UFCW,NEWBERRY J.J. STORE #6494,"816 S PACIFIC AVE, SAN PEDRO, CA 907313206",4/24/87,Lost,9,1,8,0,33.7363852,-118.287606
SEIU,RIVERDALE CONVALESCENT CENTER,"201 ALLEN AVE, GLENDALE, CA 912012803",4/24/87,Lost,47,8,34,0,34.1628345,-118.3058744
IATSE,"TMS ENTERTAINMENT, INC.","3575 CAHUENGA BLVD W, LOS ANGELES, CA 900681366",4/29/87,Won,16,10,4,0,34.1337233,-118.358381
AFT,LEAGUE OF UNITED LATIN AMERICAN CITIZEN,"500 E 4TH ST, LONG BEACH, CA 908022501",5/5/87,Won,189,114,19,32,33.7714353,-118.1867066
UBC,ARCADIA LUMBER CO.,"214 N SANTA ANITA AVE, ARCADIA, CA 910063110",5/5/87,Lost,24,4,19,0,34.142576,-118.031048
IBT,HUNTINGTON RESOURCE,"855 S ARROYO PKWY, PASADENA, CA 911053289",5/5/87,Won,29,18,8,1,34.1311183,-118.1474788
BAC,DESIGN MASONRY,"24366 WALNUT ST, NEWHALL, CA 913212830",5/5/87,Lost,13,3,4,0,34.3798746,-118.529843
AFSCME,VOLUNTEERS OF AMERICA,"4969 W SUNSET BLVD, LOS ANGELES, CA 900275813",5/15/87,Lost,35,8,24,0,34.0984652,-118.2978857
IBT,UNION ICE CO.,"4650 S EASTERN AVE, LOS ANGELES, CA 900402911",5/15/87,Lost,8,1,7,0,33.9947378,-118.1600472
IBT,PRUDENTIAL OVERALL SUPPLY,"17461 FABRICA WAY, CERRITOS, CA 90703",5/15/87,Won,40,23,12,0,33.8727734,-118.0311323
ACTWU,CRENSHAW VILLAGE CLEANERS,"3917 SANTA ROSALIA DR, LOS ANGELES, CA 900082517",5/18/87,Lost,9,3,6,0,34.0121413,-118.3431812
IBEW,CARBORUNDUM ABRASIVES CO.,"5051 COMMERCE DR, BALDWIN PARK, CA 917061400",5/18/87,Lost,6,2,4,0,34.1034662,-117.9760616
IBEW,GOLDEN WEST BROADCASTERS,"5858 W SUNSET BLVD, LOS ANGELES, CA 900286607",5/22/87,Lost,3,0,1,0,34.0980668,-118.3163797
ACTWU,"PACIFIC COAST DYEING & FINISHING, INC.","2615 E SOUTH ST, LONG BEACH, CA 908054428",5/22/87,Lost,150,41,81,19,33.8605896,-118.1617342
IATSE,BAGDASARRIAN PRODUCTIONS,"4400 COLDWATER CANYON AVE, STUDIO CITY, CA 916041480",6/1/87,Lost,4,0,1,0,34.1506051,-118.4135035
IBT,ARCADIA LUMBER CO.,"214 N SANTA ANITA AVE, ARCADIA, CA 910063110",6/2/87,Lost,5,2,3,0,34.142576,-118.031048
LOCAL,TERRY LUMBER CO.,"18300 PARTHENIA ST, NORTHRIDGE, CA 913253368",6/3/87,Lost,4,0,3,0,34.2285423,-118.5327014
IATSE,ASPECT RATIO,"6671 W SUNSET BLVD, LOS ANGELES, CA 900287175",6/4/87,Won,10,7,3,0,34.0985967,-118.3360928
IUOE,COASTTLINE EQUIPMENT,"3333 CHERRY AVE, LONG BEACH, CA 908074901",6/4/87,Lost,14,1,12,0,33.8175943,-118.168357
IBT,O.B. TRUCKING,"1620 E 22ND ST, LOS ANGELES, CA 900111323",6/10/87,Won,17,9,5,3,34.0169727,-118.2450331
UBC,MYRTLE AVENUE LUMBER & HARDWARE CO.,"123 W POMONA AVE, MONROVIA, CA 910164523",6/11/87,Lost,2,0,2,0,34.1345659,-118.0018199
UBC,ALCO/COLD ZONE,"12423 FLORENCE AVE, SANTA FE SPRINGS, CA 906703917",6/12/87,Lost,16,2,9,1,33.9358906,-118.0677768
LOCAL,CULVER STUDIOS,"9336 WASHINGTON BLVD, CULVER CITY, CA 902322600",6/18/87,Lost,4,0,4,0,34.0227604,-118.3908485
UFCW,NEWBERRY J. J. CO.,"1275 SARTORI AVE, TORRANCE, CA 905012718",6/19/87,Lost,10,1,6,0,33.8350858,-118.3161495
UFCW,UNIFED DRESSED BEEF-RUSSAKS CURED MEAT,"1407 BOYD ST, LOS ANGELES, CA 900333714",6/30/87,Won,11,7,4,0,34.0443271,-118.2257074
IBT,PROVIDENT LIFE & ACCIDENT,"1150 S OLIVE ST, LOS ANGELES, CA 900152211",7/1/87,Lost,450,27,353,37,34.039544,-118.2618252
SEIU,GAGE BOWL,"347 E GAGE AVE, HUNTINGTON PARK, CA 90255",7/15/87,Lost,7,1,6,0,33.982652,-118.2679425
LOCAL,DELTA PATROL SERVICES,"200 N DOUGLAS ST, EL SEGUNDO, CA 902454616",7/16/87,Won,95,66,1,0,33.9186028,-118.3799309
NABET,"FOX TELEVISION STATIONS, INC.","5746 W SUNSET BLVD, LOS ANGELES, CA 900288502",7/22/87,Won,4,4,0,0,34.096756,-118.314883
USW,PARKER BOILER CO.,"5930 BANDINI BLVD, LOS ANGELES, CA 900402998",7/24/87,Lost,42,14,22,5,33.9906458,-118.1545078
IBEW,"KSCI HOLDING, INC. (CHANNEL 18)","1954 COTNER AVE, LOS ANGELES, CA 900255602",7/31/87,Lost,26,12,13,1,34.042542,-118.4416269
SEIU,WOODLAKE BOWL,"23130 VENTURA BLVD, WOODLAND HILLS, CA 913641101",7/31/87,Lost,17,0,11,0,34.1630696,-118.6290239
IBT,CENTURY PARK EAST HOMEOWNERS ASSOC.,"2160 CENTURY PARK LN #2170, LOS ANGELES, CA 900673301",8/6/87,Lost,17,5,8,0,34.0560365,-118.411203
IBT,TERRY LUMBER,"6056 RESEDA BLVD, TARZANA, CA 913561593",8/12/87,Lost,5,1,3,1,34.1803615,-118.5344507
IBT,NISSION FOODS,"7930 DEERING AVE, CANOGA PARK, CA 913045007",8/13/87,Lost,18,7,10,0,34.2147838,-118.5943104
IBT,"MORGAN SERVICES, INC.","905 YALE ST, LOS ANGELES, CA 900121791",8/14/87,Won,9,6,2,1,34.0654109,-118.2399195
SMW,"KRUSE METALS MFG., CO.","1330 CHANNING ST, LOS ANGELES, CA 900212491",8/20/87,Lost,10,2,8,0,34.0261094,-118.2377691
,FORGE DIE CO.,"606 MONTEREY PASS RD, MONTEREY PARK, CA 917542434",8/20/87,Lost,6,1,3,0,34.0547948,-118.1476358
IBT,SSANG YONG U.S.A.,"2570 E DEL AMO BLVD, COMPTON, CA 902216002",8/25/87,Won,8,5,3,0,33.8462025,-118.2178513
IBT,BUILDERS DISCOUNT,"20914 NORDHOFF ST, CHATSWORTH, CA 913115908",8/27/87,Lost,212,27,151,8,34.2348466,-118.5893724
PAT,"CENTURY WINDOWS, INC.","1040 WALLACE PL, ROWLAND HEIGHTS, CA 917481027",8/28/87,Lost,27,8,16,3,34.002114,-117.9297515
UFCW,SUPERCUTS,"1416 E VALLEY BLVD, ALHAMBRA, CA 918015238",8/29/87,Lost,46,16,24,5,34.0788926,-118.1092275
IBT,ESTEE BATTERY CO.,"2700 CARRIER AVE, LOS ANGELES, CA 900402502",9/2/87,Lost,175,45,123,0,33.9936653,-118.1394233
IBT,VICTORS MARKET CO.,"11735 PRAIRIE AVE, HAWTHORNE, CA 902502698",9/9/87,Won,5,3,2,0,33.927469,-118.344275
IBT,INDUSTRIAL TECHNOLOGY,"18301 S SANTA FE AVE, COMPTON, CA 902215580",9/11/87,Lost,86,30,54,0,33.864313,-118.214046
IBT,AMFAC SUPPLY CO.,"7590 VENTURA CANYON AVE, PANORAMA CITY, CA 914026360",9/11/87,Lost,11,4,5,1,34.2087115,-118.4283128
UFCW,"BEACH GROCERY CO., INC.","7900 IMPERIAL HWY, DOWNEY, CA 902423435",9/16/87,Lost,21,1,15,0,33.9247288,-118.1542336
HERE,"NICHOL'S RESTAURANT, INC.","4375 GLENCOE AVE, MARINA DEL REY, CA 902926466",9/16/87,Lost,22,5,15,0,33.9855676,-118.4381697
LOCAL,FLEMING LUMBER CO.,"3250 N SAN FERNANDO RD, LOS ANGELES, CA 900651415",9/28/87,Lost,5,0,4,0,34.1171497,-118.2488667
IBT,"ROTATIONAL MOLDING, INC.","17038 S FIGUEROA ST, GARDENA, CA 902483089",10/1/87,Won,50,40,6,0,33.8760376,-118.2818054
SEIU,SHERWOOD CONVALESCENT HOSPITAL,"13524 SHERMAN WAY, VAN NUYS, CA 914052830",10/1/87,Lost,43,5,29,1,34.2007971,-118.4276831
USW,CHARLTON WEST,"2750 ARTESIA BLVD, REDONDO BEACH, CA 902783314",10/2/87,Lost,100,16,46,1,33.8716456,-118.3595263
IATSE,COLOR SYSTEMS TECHNOLOGY,"4551 GLENCOE AVE, MARINA DEL REY, CA 902926385",10/2/87,Won,128,70,26,3,33.9835135,-118.4336071
UFCW,"BALIAN'S MARKET, INC.","9424 VENICE BLVD, CULVER CITY, CA 902322624",10/9/87,Lost,12,4,8,0,34.0249581,-118.3953849
CWA,G TECH,"10050 MISSION MILL RD, WHITTIER, CA 906011738",11/5/87,Lost,164,38,59,4,34.0177905,-118.0490717
SIU,"ROCKET INDUSTRIES, INC.","9935 BEVERLY BLVD, PICO RIVERA, CA 906601812",11/5/87,Won,244,158,37,30,34.0063329,-118.0652616
